season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Caron Butler,34.0,DET,,,,,1623.0,,396.0,,,,61.0,,,,79.0,43.0,4.0,49.0,460.0,0.544,0.553,0.154,0.0139999999999999,0.122,0.066,0.073,0.104,0.129,9.3,2.4,1.3,1.0,0.07,-1.5,0.2
2015,Jimmy Butler,25.0,CHI,,,,,2513.0,,912.0,,,,463.0,,,,212.0,114.0,36.0,93.0,1301.0,0.583,0.212,0.508,0.051,0.1119999999999999,0.0819999999999999,0.144,0.077,0.216,21.3,11.2,8.2,3.0,0.214,4.7,4.2
2015,Rasual Butler,35.0,WAS,,,,,1505.0,,517.0,,,,67.0,,,,63.0,29.0,22.0,48.0,580.0,0.531,0.455,0.13,0.021,0.124,0.074,0.065,0.081,0.179,11.4,2.6,1.0,1.6,0.084,-1.7,0.1
2015,Dwight Buycks,25.0,LAL,,,,,123.0,,40.0,,,,10.0,,,,14.0,3.0,0.0,12.0,52.0,0.586,0.275,0.25,0.017,0.093,0.054,0.184,0.213,0.204,13.1,0.1,0.1,0.0,0.027,-4.9,-0.1
2015,Will Bynum,32.0,WAS,,,,,67.0,,31.0,,,,4.0,,,,18.0,1.0,1.0,8.0,22.0,0.336,0.29,0.129,0.034,0.066,0.05,0.422,0.196,0.276,4.8,-0.2,-0.2,0.1,-0.132,-9.1,-0.1
2015,Bruno Caboclo,19.0,TOR,,,,,23.0,,12.0,,,,0.0,,,,0.0,0.0,1.0,4.0,10.0,0.417,0.25,0.0,0.05,0.05,0.05,0.0,0.25,0.315,-1.8,-0.1,-0.1,0.0,-0.275,-18.9,-0.1
2015,Nick Calathes,25.0,MEM,,,,,838.0,,247.0,,,,45.0,,,,146.0,63.0,5.0,61.0,243.0,0.455,0.174,0.182,0.026,0.118,0.072,0.266,0.186,0.179,12.3,1.1,-0.4,1.5,0.065,-0.3,0.4
2015,Jose Calderon,33.0,NYK,,,,,1270.0,,354.0,,,,32.0,,,,198.0,31.0,0.0,75.0,382.0,0.519,0.401,0.09,0.017,0.098,0.0559999999999999,0.256,0.1689999999999999,0.161,11.3,0.9,0.8,0.1,0.033,-3.2,-0.4
2015,Kentavious Caldwell-Pope,21.0,DET,,,,,2587.0,,972.0,,,,158.0,,,,109.0,93.0,18.0,94.0,1043.0,0.501,0.457,0.163,0.019,0.091,0.054,0.068,0.083,0.195,11.2,2.8,1.1,1.8,0.052,-1.0,0.6
2015,Isaiah Canaan,23.0,HOU,,,,,369.0,,131.0,,,,21.0,,,,29.0,14.0,0.0,23.0,154.0,0.549,0.641,0.16,0.033,0.066,0.049,0.126,0.141,0.192,11.8,0.6,0.3,0.3,0.084,-2.3,0.0
